[2026-04-24T19:59:45.167+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T19:59:56.967+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:00:23.004+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:00:29.497+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:04:49.733+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:05:06.906+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:05:38.878+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:36:56.731+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:44:39.652+08:00] setting includeBboxInPlanning to true { deepThink: undefined, noIndividualLocateModel: true }
[2026-04-24T20:45:23.062+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T20:58:36.497+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:17:26.917+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:20:05.210+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:21:52.144+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:43:04.110+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:43:41.071+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:44:23.192+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:54:10.829+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:54:34.708+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:55:23.719+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:55:56.163+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T21:56:25.206+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T22:30:30.383+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T22:39:44.255+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T22:40:49.550+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
[2026-04-24T23:07:13.943+08:00] setting includeBboxInPlanning to false { deepThink: undefined, noIndividualLocateModel: false }
