[2026-04-24T20:45:35.709+08:00] resRect { left: 536, top: 100, width: 1435, height: 85 }
[2026-04-24T21:17:35.800+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T21:17:47.602+08:00] resRect { left: 750, top: 350, width: 377, height: 48 }
[2026-04-24T21:18:02.143+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
[2026-04-24T21:20:13.962+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T21:20:26.443+08:00] resRect { left: 750, top: 351, width: 379, height: 47 }
[2026-04-24T21:20:37.279+08:00] resRect { left: 750, top: 455, width: 379, height: 52 }
[2026-04-24T21:22:00.478+08:00] resRect { left: 750, top: 276, width: 379, height: 45 }
[2026-04-24T21:22:12.439+08:00] resRect { left: 750, top: 351, width: 377, height: 47 }
[2026-04-24T21:22:21.967+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
[2026-04-24T21:43:11.926+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T21:43:48.810+08:00] resRect { left: 750, top: 350, width: 379, height: 48 }
[2026-04-24T21:44:32.002+08:00] resRect { left: 790, top: 541, width: 16, height: 16 }
[2026-04-24T21:44:46.898+08:00] resRect { left: 790, top: 541, width: 16, height: 16 }
[2026-04-24T21:54:19.827+08:00] resRect { left: 750, top: 276, width: 377, height: 48 }
[2026-04-24T21:54:41.488+08:00] resRect { left: 749, top: 350, width: 380, height: 48 }
[2026-04-24T21:55:33.056+08:00] resRect { left: 791, top: 541, width: 15, height: 15 }
[2026-04-24T21:56:01.757+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
[2026-04-24T22:30:40.395+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T22:30:50.903+08:00] resRect { left: 750, top: 351, width: 379, height: 47 }
[2026-04-24T22:30:59.408+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
[2026-04-24T22:39:56.810+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T22:40:05.751+08:00] resRect { left: 750, top: 349, width: 379, height: 49 }
[2026-04-24T22:40:15.178+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
[2026-04-24T22:40:25.375+08:00] resRect { left: 790, top: 541, width: 15, height: 15 }
[2026-04-24T22:40:58.646+08:00] resRect { left: 750, top: 276, width: 379, height: 48 }
[2026-04-24T22:41:08.928+08:00] resRect { left: 750, top: 351, width: 379, height: 47 }
[2026-04-24T22:41:17.153+08:00] resRect { left: 790, top: 541, width: 16, height: 16 }
[2026-04-24T22:41:35.714+08:00] resRect { left: 750, top: 455, width: 379, height: 51 }
